time,pos_out[1],pos_out[2],pos_out[3],RPY_out[1],RPY_out[2],RPY_out[3],f_in[1],f_in[2],f_in[3],t_in[1],t_in[2],t_in[3],
0.0,0.0,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.005,0.0,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.01,6.666622222518518e-05,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.015,0.00019999866667555553,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.02,0.0003999973333511111,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.025,0.0006666622222518518,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.03,0.0009999933333777777,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.035,0.0013999906667288892,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.04,0.0018666542223051853,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.045,0.0023999840001066664,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.05,0.0029999800001333336,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.055,0.0036666422223851853,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.06,0.004399970666862222,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.065,0.005199965333564445,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.07,0.006066626222491853,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.075,0.006999953333644444,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.08,0.007999946667022223,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.085,0.009066606222625187,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.09,0.010199932000453334,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.095,0.011399924000506668,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.1,0.012666582222785187,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.105,0.013999906667288889,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.11,0.015399897334017778,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.115,0.01686655422297185,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.12,0.018399877334151108,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.125,0.019999866667555554,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.13,0.021666522223185186,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.135,0.023399844001040004,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.14,0.025199832001120005,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.145,0.027066486223425182,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.15,0.028999806667955555,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.155,0.03099979333471111,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16,0.033066446223691856,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.165,0.035199765334897784,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.17,0.037399750668328895,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.17500000000000002,0.039666402223985195,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.18,0.041999720001866664,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.185,0.04439970400197333,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.19,0.046866354224305184,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.195,0.04939967066886222,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,0.05199965333564444,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.20500000000000002,0.05466630222465185,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.21,0.05739961733588443,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.215,0.060199598669342214,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.22,0.06306624622502517,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.225,0.06599956000293332,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.23,0.06899954000306666,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.23500000000000001,0.07206618622542517,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.24,0.07519949867000886,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.245,0.07839947733681775,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.25,0.08166612222585182,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.255,0.08499943333711107,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.26,0.08839941067059552,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.265,0.09186605422630514,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.27,0.09539936400423996,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.275,0.09899934000439996,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.28,0.10266598222678514,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.28500000000000003,0.1063992906713955,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.29,0.11019926533823102,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.295,0.11406590622729176,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.3,0.11799921333857769,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.305,0.1219991866720888,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.31,0.12606582622782508,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.315,0.13019913200578656,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.32,0.1343991040059732,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.325,0.13866574222838507,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.33,0.1429990466730221,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.335,0.14739901733988434,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.34,0.15186565422897175,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.34500000000000003,0.15639895734028433,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.35000000000000003,0.16099892667382212,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.355,0.16566556222958503,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.36,0.17039886400757318,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.365,0.17519883200778652,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.37,0.18006546623022504,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.375,0.18499876667488874,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.38,0.18999873334177764,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.385,0.1950653662308917,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.39,0.20019866534223096,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.395,0.20539863067579542,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.4,0.21066526223158505,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.405,0.21599856000959988,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.41000000000000003,0.2213985240098399,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.41500000000000004,0.22686515423230508,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.42,0.23239845067699538,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.425,0.23799841334391095,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.43,0.2436650422330517,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.435,0.24939833734441763,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.44,0.25519829867800875,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.445,0.26106492623382505,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.45,0.2669982200118665,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.455,0.2729981800121332,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.46,0.2790648062346251,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.465,0.28519809867934215,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.47000000000000003,0.2913980573462844,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.47500000000000003,0.2976646822354518,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.48,0.3039979733468443,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.485,0.3103979306804621,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.49,0.3168645542363051,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.495,0.32339784401437327,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5,0.3299978000146666,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.505,0.3366644222371851,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.51,0.3433977106819288,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.515,0.35019766534889774,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.52,0.35706428623809183,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.525,0.3639975733495111,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.53,0.37099752668315555,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.535,0.3780641462390252,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.54,0.38519743201712003,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.545,0.39239738401744007,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.55,0.39966400223998527,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.555,0.40699728668475565,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.56,0.4143972373517512,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5650000000000001,0.42186385424097195,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5700000000000001,0.4293971373524179,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.5750000000000001,0.43699708668608905,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.58,0.4446637022419852,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.585,0.4523969840201067,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.59,0.46019693202045336,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.595,0.4680635462430252,0.0,0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,
